trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
163,False,"{'a': 0.5, 'e': 0.9674333517374392}",20,0,-139.43807144659135,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
164,False,"{'a': 0.5, 'e': 0.96703475195977}",30,0,-220.9560273288343,"{0: 16, 1: 3, 2: 5, 3: 3, 4: 3}",0
165,False,"{'a': 0.5, 'e': 0.9666337685386301}",25,0,-107.07879268966734,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
166,False,"{'a': 0.5, 'e': 0.9662304024624038}",20,0,-72.81513608551764,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
167,False,"{'a': 0.5, 'e': 0.9658246547253476}",20,0,-103.75530639743705,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
168,False,"{'a': 0.5, 'e': 0.965416526327589}",25,0,-41.90241914405187,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
169,False,"{'a': 0.5, 'e': 0.9650060182751234}",20,0,-33.97910113626995,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
170,False,"{'a': 0.5, 'e': 0.9645931315798121}",30,0,-120.71831037036534,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 2}",0
171,False,"{'a': 0.5, 'e': 0.964177867259379}",20,0,-169.53491152326913,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
172,False,"{'a': 0.5, 'e': 0.9637602263374091}",25,0,-103.53125295792867,"{0: 13, 1: 4, 2: 6, 3: 2, 4: 0}",0
173,False,"{'a': 0.5, 'e': 0.9633402098433452}",30,0,-162.4812387369051,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",0
174,False,"{'a': 0.5, 'e': 0.962917818812486}",20,0,-88.13471735734291,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
175,False,"{'a': 0.5, 'e': 0.9624930542859825}",20,0,-100.69302885336461,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
176,False,"{'a': 0.5, 'e': 0.962065917310837}",25,0,-134.01786086892872,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
177,False,"{'a': 0.5, 'e': 0.961636408939899}",30,0,-110.75315074994319,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
178,False,"{'a': 0.5, 'e': 0.9612045302318634}",35,0,-270.1664777402478,"{0: 19, 1: 3, 2: 6, 3: 3, 4: 4}",0
179,False,"{'a': 0.5, 'e': 0.9607702822512679}",30,0,-55.53181126666167,"{0: 23, 1: 1, 2: 4, 3: 2, 4: 0}",0
180,False,"{'a': 0.5, 'e': 0.9603336660684902}",20,0,-94.63480825535126,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
181,False,"{'a': 0.5, 'e': 0.9598946827597452}",30,0,-301.5893718588811,"{0: 16, 1: 2, 2: 3, 3: 4, 4: 5}",0
182,False,"{'a': 0.5, 'e': 0.9594533334070827}",25,0,-270.2539234106219,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 5}",0
